Date,Open,High,Low,Close,Adj Close,Volume
2010-07-15,129.869995,130.919998,129.550003,109.933830,130.720001,6186800
2010-07-16,129.960007,130.149994,127.849998,107.671577,128.029999,7002900
2010-07-19,128.669998,130.380005,128.369995,109.151703,129.789993,8388600
2010-07-20,122.970001,126.559998,122.930000,106.426933,126.550003,16337400
2010-07-21,126.440002,126.500000,124.620003,105.350433,125.269997,8615500
2010-07-22,126.320000,127.779999,126.050003,107.200630,127.470001,6909000
2010-07-23,127.300003,128.800003,127.000000,107.965919,128.380005,5078000
2010-07-26,128.179993,128.429993,127.139999,107.991158,128.410004,5174900
2010-07-27,128.779999,129.169998,127.889999,108.176163,128.630005,4648200
2010-07-28,128.669998,129.350006,127.879997,108.007996,128.429993,4248800
2010-07-29,129.059998,129.500000,127.139999,107.663162,128.020004,8994200
2010-07-30,127.430000,128.979996,127.040001,107.982742,128.399994,6021000
2010-08-02,129.250000,131.199997,129.250000,109.967468,130.759995,6437500
2010-08-03,130.029999,131.039993,129.330002,109.639481,130.369995,5091800
2010-08-04,130.460007,131.500000,129.850006,110.396362,131.270004,4567500
2010-08-05,130.729996,131.979996,130.529999,110.867325,131.830002,4520600
2010-08-06,130.410004,130.479996,128.759995,109.988380,130.139999,6136200
2010-08-09,130.789993,132.339996,130.399994,111.560356,132.000000,6131700
2010-08-10,131.179993,132.490005,130.770004,111.425133,131.839996,5471700
2010-08-11,130.690002,130.690002,129.460007,109.726357,129.830002,6316100
2010-08-12,127.690002,128.779999,127.519997,108.433273,128.300003,5132200
2010-08-13,127.959999,128.460007,127.330002,108.069870,127.870003,4669400
2010-08-16,127.470001,128.229996,126.959999,107.985367,127.769997,4009200
2010-08-17,128.830002,129.850006,127.900002,108.560059,128.449997,4298300
2010-08-18,128.869995,130.199997,127.800003,109.354507,129.389999,4883200
2010-08-19,128.669998,129.589996,128.020004,108.940384,128.899994,5402400
2010-08-20,128.720001,128.979996,126.959999,107.757179,127.500000,6246300
2010-08-23,127.570000,128.029999,126.440002,106.886658,126.470001,4034400
2010-08-24,125.209999,126.019997,124.570000,105.559753,124.900002,5621200
2010-08-25,124.570000,125.599998,124.000000,105.872459,125.269997,5235300
2010-08-26,125.779999,125.779999,122.779999,103.768028,122.779999,7746600
2010-08-27,123.830002,124.800003,122.419998,105.416100,124.730003,6214200
2010-08-30,125.080002,125.269997,123.400002,104.292030,123.400002,3604000
2010-08-31,123.309998,123.989998,122.279999,104.063835,123.129997,5624200
2010-09-01,125.309998,126.309998,124.519997,106.295029,125.769997,5623100
2010-09-02,126.029999,126.230003,124.650002,105.678085,125.040001,5103300
2010-09-03,126.220001,127.599998,125.900002,107.824783,127.580002,5142900
2010-09-07,126.989998,127.360001,125.879997,106.447197,125.949997,4353300
2010-09-08,126.019997,126.519997,125.389999,106.557030,126.080002,4477500
2010-09-09,127.269997,127.570000,126.150002,106.793701,126.360001,3436700
2010-09-10,126.989998,128.289993,126.260002,108.171288,127.989998,4418700
2010-09-13,128.630005,130.000000,128.520004,109.540436,129.610001,5271300
2010-09-14,128.429993,129.919998,128.429993,108.898140,128.850006,4850500
2010-09-15,128.649994,129.960007,128.539993,109.388298,129.429993,4762500
2010-09-16,129.199997,129.949997,128.800003,109.591156,129.669998,4685000
2010-09-17,129.919998,130.600006,129.699997,110.030624,130.190002,10397400
2010-09-20,130.240005,132.089996,130.110001,111.382866,131.789993,7145500
2010-09-21,131.449997,132.800003,130.779999,111.543434,131.979996,5267900
2010-09-22,131.610001,132.580002,131.399994,112.042068,132.570007,4922400
2010-09-23,131.419998,132.779999,131.220001,111.281433,131.669998,3898800
2010-09-24,132.419998,134.149994,132.339996,113.343658,134.110001,7122400
2010-09-27,133.509995,135.000000,133.509995,113.800011,134.649994,6155400
2010-09-28,134.669998,135.139999,133.710007,114.002846,134.889999,7481300
2010-09-29,134.399994,135.800003,134.339996,114.501495,135.479996,5151200
2010-09-30,135.500000,136.110001,133.669998,113.368988,134.139999,6425800
2010-10-01,135.509995,136.279999,135.089996,114.636719,135.639999,5621200
2010-10-04,135.229996,135.919998,134.389999,114.307121,135.250000,4059900
2010-10-05,136.179993,137.899994,136.119995,116.343948,137.660004,6202500
2010-10-06,136.880005,137.960007,136.830002,116.496025,137.839996,4783000
2010-10-07,137.919998,138.880005,137.520004,117.239769,138.720001,6440800
2010-10-08,138.399994,139.089996,138.059998,117.349693,138.850006,4540800
2010-10-11,138.789993,139.940002,138.639999,118.034264,139.660004,4004300
2010-10-12,138.399994,139.990005,138.270004,118.194817,139.850006,5637300
2010-10-13,139.910004,141.479996,139.779999,118.634308,140.369995,8784300
2010-10-14,140.350006,141.500000,139.690002,119.589317,141.500000,5653100
2010-10-15,142.100006,142.100006,140.539993,119.217461,141.059998,7220400
2010-10-18,140.899994,143.029999,140.839996,120.713364,142.830002,10322700
2010-10-19,137.300003,139.339996,136.699997,116.656639,138.029999,14159100
2010-10-20,138.279999,139.869995,138.130005,117.535614,139.070007,6945500
2010-10-21,139.809998,140.490005,138.399994,118.177925,139.830002,6221200
2010-10-22,140.149994,140.750000,139.460007,118.042694,139.669998,4105300
2010-10-25,140.419998,141.399994,139.809998,118.186356,139.839996,4870000
2010-10-26,139.289993,142.000000,138.529999,118.887825,140.669998,7327100
